# UEB Appendix 2「Word List」— Section 10（縮約）の用例語と、その点字・適用規則。
# 出典: The Rules of Unified English Braille, Third Edition 2024 (ICEB)
#   https://iceb.org/wp-content/uploads/2025/10/Rules-of-Unified-English-Braille-2024.pdf
#   ICEB により Creative Commons ライセンスで公開されている。
# 用途: 英語点訳エンジンの回帰コーパス（tests/ueb_appendix2.rs）。
# 列: 原文 <TAB> 期待する点字 <TAB> 規則番号
eversion	⠑⠧⠻⠨⠝	10.7.4
everyday	⠐⠑⠽⠐⠙	10.1.1
everyone	⠐⠑⠽⠐⠕	10.7.6
everything	⠐⠑⠽⠹⠬	10.7.4
experienced	⠑⠭⠏⠻⠊⠰⠑⠙	10.8.1, 10.10.6
expressionless	⠑⠭⠏⠗⠑⠎⠨⠝⠨⠎	10.8.1
extramental	⠑⠭⠞⠗⠁⠰⠞⠁⠇	10.8.1, 10.11.6
faerie	⠋⠁⠻⠊⠑	10.11.9
faint	⠋⠁⠔⠞	10.6.8
fathead	⠋⠁⠞⠓⠂⠙	10.11.1
father-in-law	⠐⠋⠤⠔⠤⠇⠁⠺	10.7.1
fatherless	⠐⠋⠨⠎	10.7.1
fear	⠋⠑⠜	10.10.5
fearsome	⠋⠑⠜⠐⠎	10.7.7
Feelgreat	⠠⠋⠑⠑⠇⠛⠗⠞	10.9.3
feminine	⠋⠑⠍⠔⠔⠑	10.6.8
fenced	⠋⠰⠑⠙	10.6.8
fences	⠋⠰⠑⠎	10.8.1
fever	⠋⠐⠑	10.7.4
filename	⠋⠊⠇⠑⠐⠝	10.6.8, 10.7.5
filofax	⠋⠊⠇⠕⠋⠁⠭	10.11.5
finery	⠋⠔⠻⠽	10.11.7
finesse	⠋⠊⠰⠎⠑	10.8.1
finger	⠋⠬⠻	10.4.3
fireworks	⠋⠊⠗⠑⠐⠺⠎	10.7.1
FirstAmerica	⠠⠋⠊⠗⠌⠠⠁⠍⠻⠊⠉⠁	10.9.4
first-begotten	⠋⠌⠤⠆⠛⠕⠞⠞⠢	10.6.1
Firstchoice	⠠⠋⠌⠡⠕⠊⠉⠑	10.9.3
flaccid	⠋⠇⠁⠒⠊⠙	10.6.5
flearidden	⠋⠇⠂⠗⠊⠙⠙⠢	10.11.1
flounder	⠋⠇⠨⠙⠻	10.7.9
foghorn	⠋⠕⠛⠓⠕⠗⠝	10.4.1
force	⠿⠉⠑	10.3.1
forenoon	⠿⠑⠝⠕⠕⠝	10.6.8
foreseeably	⠿⠑⠎⠑⠂⠃⠇⠽	10.11.7
foreword	⠿⠑⠘⠺	10.7.1
forgo	⠿⠛⠕	10.3.1
forthwith	⠿⠹⠾	10.3.1
Fortran	⠠⠿⠞⠗⠁⠝	10.3.1
fought	⠋⠐⠳	10.7.1
found	⠋⠨⠙	10.8.1
fractional	⠋⠗⠁⠉⠰⠝⠁⠇	10.8.1
Francene	⠠⠋⠗⠨⠑⠝⠑	10.6.8
Frances	⠠⠋⠗⠨⠑⠎	10.8.1
